tpr,fpr
0.0,0.0
0.0,0.0007423904974016332
0.0,0.004454342984409799
0.0,0.005939123979213066
0.0,0.02301410541945063
0.01,0.02301410541945063
0.01,0.03192279138827023
0.05,0.03192279138827023
0.05,0.03414996288047513
0.06,0.03414996288047513
0.06,0.0556792873051225
0.09,0.0556792873051225
0.09,0.05642167780252413
0.1,0.05642167780252413
0.1,0.05790645879732739
0.11,0.05790645879732739
0.11,0.062360801781737196
0.13,0.062360801781737196
0.13,0.0645879732739421
0.14,0.0645879732739421
0.14,0.06904231625835189
0.15,0.06904231625835189
0.15,0.07201187824795843
0.17,0.07201187824795843
0.17,0.07349665924276169
0.17,0.08760207869339272
0.18,0.08760207869339272
0.18,0.08908685968819599
0.22,0.08908685968819599
0.22,0.10096510764662213
0.22,0.10244988864142539
0.22,0.10690423162583519
0.22,0.10838901262063845
0.22,0.1091314031180401
0.22,0.11061618411284335
0.22,0.1291759465478842
0.24,0.1291759465478842
0.24,0.14253897550111358
0.25,0.14253897550111358
0.25,0.14402375649591687
0.26,0.14402375649591687
0.26,0.147735708982925
0.27,0.147735708982925
0.27,0.1514476614699332
0.28,0.1514476614699332
0.28,0.15219005196733482
0.29,0.15219005196733482
0.29,0.16481069042316257
0.3,0.16481069042316257
0.3,0.16555308092056423
0.31,0.16555308092056423
0.31,0.18337045285820341
0.32,0.18337045285820341
0.32,0.1855976243504083
0.34,0.1855976243504083
0.34,0.1870824053452116
0.35,0.1870824053452116
0.35,0.19302152932442465
0.36,0.19302152932442465
0.36,0.2056421677802524
0.37,0.2056421677802524
0.37,0.21232368225686712
0.39,0.21232368225686712
0.39,0.21900519673348182
0.4,0.21900519673348182
0.4,0.21974758723088345
0.41,0.21974758723088345
0.41,0.22048997772828507
0.42,0.22048997772828507
0.42,0.2256867112100965
0.43,0.2256867112100965
0.43,0.23608017817371937
0.44,0.23608017817371937
0.44,0.23979213066072755
0.45,0.23979213066072755
0.45,0.24276169265033407
0.46,0.24276169265033407
0.46,0.24350408314773572
0.47,0.24350408314773572
0.47,0.24647364513734224
0.48,0.24647364513734224
0.48,0.24721603563474387
0.48,0.24870081662954716
0.48,0.28210838901262064
0.48,0.2835931700074239
0.48,0.29175946547884185
0.49,0.29175946547884185
0.49,0.2962138084632517
0.5,0.2962138084632517
0.5,0.3103192279138827
0.5,0.311804008908686
0.51,0.311804008908686
0.51,0.31403118040089084
0.53,0.31403118040089084
0.53,0.3273942093541203
0.53,0.32887899034892354
0.53,0.33556050482553823
0.53,0.3370452858203415
0.53,0.3422420193021529
0.54,0.3422420193021529
0.54,0.3548626577579807
0.54,0.35634743875278396
0.54,0.3741648106904232
0.55,0.3741648106904232
0.55,0.38084632516703787
0.55,0.3823311061618411
0.55,0.3897550111358575
0.55,0.39123979213066074
0.55,0.3949517446176689
0.56,0.3949517446176689
0.56,0.4053452115812918
0.57,0.4053452115812918
0.57,0.41870824053452116
0.57,0.4201930215293244
0.57,0.42761692650334077
0.58,0.42761692650334077
0.58,0.42835931700074237
0.58,0.4298440979955457
0.58,0.451373422420193
0.58,0.4528582034149963
0.58,0.4602821083890126
0.59,0.4602821083890126
0.59,0.4617668893838159
0.61,0.4617668893838159
0.61,0.4647364513734224
0.62,0.4647364513734224
0.62,0.4684484038604306
0.63,0.4684484038604306
0.63,0.4862657757980698
0.64,0.4862657757980698
0.64,0.5226429101707498
0.64,0.5241276911655531
0.64,0.5330363771343727
0.65,0.5330363771343727
0.65,0.5337787676317743
0.65,0.5352635486265775
0.65,0.5374907201187825
0.66,0.5374907201187825
0.66,0.5412026726057907
0.67,0.5412026726057907
0.67,0.5434298440979956
0.69,0.5434298440979956
0.69,0.5486265775798069
0.7,0.5486265775798069
0.7,0.5501113585746102
0.7,0.5530809205642168
0.7,0.5560504825538233
0.7,0.5567928730512249
0.7,0.5582776540460282
0.71,0.5582776540460282
0.71,0.5605048255382331
0.72,0.5605048255382331
0.72,0.5619896065330364
0.73,0.5619896065330364
0.73,0.5634743875278396
0.73,0.5649591685226429
0.73,0.5671863400148478
0.74,0.5671863400148478
0.74,0.5753526354862658
0.74,0.576837416481069
0.74,0.5812917594654788
0.75,0.5812917594654788
0.75,0.5924276169265034
0.75,0.5939123979213066
0.75,0.5953971789161099
0.75,0.5968819599109132
0.75,0.607275426874536
0.75,0.6087602078693393
0.75,0.621380846325167
0.75,0.6228656273199703
0.75,0.6250927988121752
0.75,0.6265775798069785
0.75,0.6288047512991833
0.76,0.6288047512991833
0.76,0.6340014847809948
0.77,0.6340014847809948
0.77,0.6429101707498144
0.77,0.6443949517446177
0.77,0.6525612472160356
0.78,0.6525612472160356
0.78,0.6718634001484781
0.78,0.6733481811432813
0.78,0.6956198960653304
0.78,0.6985894580549369
0.78,0.7000742390497402
0.8,0.7000742390497402
0.8,0.7015590200445434
0.8,0.7134372680029696
0.81,0.7134372680029696
0.81,0.7149220489977728
0.82,0.7149220489977728
0.84,0.7149220489977728
0.85,0.7149220489977728
0.85,0.7282850779510023
0.85,0.7297698589458055
0.85,0.7379361544172235
0.85,0.7394209354120267
0.85,0.749072011878248
0.86,0.749072011878248
0.86,0.7602078693392724
0.86,0.7616926503340757
0.86,0.7973273942093542
0.88,0.7973273942093542
0.88,0.8158871566443949
0.89,0.8158871566443949
0.89,0.8270230141054195
0.89,0.8285077951002228
0.89,0.8314773570898293
0.9,0.8314773570898293
0.9,0.8374164810690423
0.9,0.8389012620638456
0.9,0.8552338530066815
0.9,0.8567186340014847
0.9,0.8611729769858946
0.9,0.8626577579806979
0.9,0.8656273199703044
0.91,0.8656273199703044
0.91,0.8723088344469191
0.91,0.8737936154417223
0.91,0.8797327394209354
0.93,0.8797327394209354
0.93,0.8834446919079436
0.94,0.8834446919079436
0.94,0.9012620638455828
0.94,0.902746844840386
0.94,0.9057164068299925
0.95,0.9057164068299925
0.95,0.9131403118040089
0.95,0.9146250927988122
0.95,0.9190794357832219
0.96,0.9190794357832219
0.96,0.9220489977728286
0.97,0.9220489977728286
0.97,0.9227913882702301
0.98,0.9227913882702301
0.98,0.9265033407572383
0.98,0.9279881217520416
0.98,0.9339272457312546
0.99,0.9339272457312546
0.99,0.9458054936896808
1.0,0.9458054936896808
1.0,1.0
